Designator,Mid X,Mid Y,Rotation,Layer
C1,108.67,-92.43,0.0,top
C10,110.39,-69.09,0.0,top
C11,110.25,-71.65,180.0,top
C2,80.88,-98.46,180.0,top
C3,81.145,-93.78,0.0,top
C4,103.8875,-68.21,180.0,top
C5,103.9775,-78.66,180.0,top
C6,116.0,-81.9,90.0,top
C7,124.5,-81.9,270.0,top
C8,151.22,-87.33,90.0,top
C9,143.71,-68.76,0.0,top
J1,125.87,-61.425,0.0,top
J3,133.37,-99.685,0.0,top
J4,147.425,-98.95,180.0,top
J5,91.276505,-59.846868,90.0,top
J6,91.276505,-103.17,90.0,top
J7,109.31,-61.425,0.0,top
R1,103.91,-93.92,90.0,top
R2,143.68,-71.5,180.0,top
R3,124.75,-75.4,90.0,top
R4,122.25,-75.4,90.0,top
R5,118.0,-67.9,270.0,top
R6,115.25,-67.9,270.0,top
RESET1,111.06,-99.4,180.0,top
SW2,122.25,-99.4,180.0,top
SW3,144.25,-61.9,0.0,top
U1,87.57,-81.16,90.0,top
U2,104.56,-73.4425,90.0,top
U3,120.1125,-81.95,180.0,top
U4,102.92,-87.4175,270.0,top
U5,139.875,-85.5,0.0,top
U6,115.075,-73.48,0.0,top
